"58","Matchday 5","Brazil","Yugoslavia (-2003)","1950-07-01 12:00:00.000000","2","0",,,,,"1"
"59","Matchday 6","Switzerland","Mexico","1950-07-02 12:00:00.000000","2","1",,,,,"1"
"60","Matchday 2","England","Chile","1950-06-25 12:00:00.000000","2","0",,,,,"1"
"61","Matchday 2","Spain","United States","1950-06-25 12:00:00.000000","3","1",,,,,"1"
"62","Matchday 4","Spain","Chile","1950-06-29 12:00:00.000000","2","0",,,,,"1"
"63","Matchday 4","United States","England","1950-06-29 12:00:00.000000","1","0",,,,,"1"
"64","Matchday 6","Spain","England","1950-07-02 12:00:00.000000","1","0",,,,,"1"
"65","Matchday 6","Chile","United States","1950-07-02 12:00:00.000000","5","2",,,,,"1"
"66","Matchday 2","Sweden","Italy","1950-06-25 12:00:00.000000","3","2",,,,,"1"
"67","Matchday 4","Sweden","Paraguay","1950-06-29 12:00:00.000000","2","2",,,,,"0"
"68","Matchday 6","Italy","Paraguay","1950-07-02 12:00:00.000000","2","0",,,,,"1"
"69","Matchday 6","Uruguay","Bolivia","1950-07-02 12:00:00.000000","8","0",,,,,"1"
"70","Final Round","Uruguay","Spain","1950-07-09 12:00:00.000000","2","2",,,,,"0"
"71","Final Round","Brazil","Sweden","1950-07-09 12:00:00.000000","7","1",,,,,"1"
"72","Final Round","Brazil","Spain","1950-07-13 12:00:00.000000","6","1",,,,,"1"
"73","Final Round","Uruguay","Sweden","1950-07-13 12:00:00.000000","3","2",,,,,"1"
"74","Final Round","Sweden","Spain","1950-07-16 12:00:00.000000","3","1",,,,,"1"
"75","Final Round","Uruguay","Brazil","1950-07-16 12:00:00.000000","2","1",,,,,"1"
"76","Matchday 1","Brazil","Mexico","1954-06-16 12:00:00.000000","5","0",,,,,"1"
"77","Matchday 1","Yugoslavia (-2003)","France","1954-06-16 12:00:00.000000","1","0",,,,,"1"
"78","Matchday 3","Brazil","Yugoslavia (-2003)","1954-06-19 12:00:00.000000","1","1","1","1",,,"0"
"79","Matchday 3","France","Mexico","1954-06-19 12:00:00.000000","3","2",,,,,"1"
"80","Matchday 2","West Germany (-1989)","Turkey","1954-06-17 12:00:00.000000","4","1",,,,,"1"
"81","Matchday 2","Hungary","South Korea","1954-06-17 12:00:00.000000","9","0",,,,,"1"
"82","Matchday 4","Hungary","West Germany (-1989)","1954-06-20 12:00:00.000000","8","3",,,,,"1"
"83","Matchday 4","Turkey","South Korea","1954-06-20 12:00:00.000000","7","0",,,,,"1"
"84","Group-2 Play-off","West Germany (-1989)","Turkey","1954-06-23 12:00:00.000000","7","2",,,,,"1"
"85","Matchday 1","Uruguay","Czechoslovakia (-1992)","1954-06-16 12:00:00.000000","2","0",,,,,"1"
"86","Matchday 1","Austria","Scotland","1954-06-16 12:00:00.000000","1","0",,,,,"1"
"87","Matchday 3","Austria","Czechoslovakia (-1992)","1954-06-19 12:00:00.000000","5","0",,,,,"1"
"88","Matchday 3","Uruguay","Scotland","1954-06-19 12:00:00.000000","7","0",,,,,"1"
"89","Matchday 2","England","Belgium","1954-06-17 12:00:00.000000","3","3","4","4",,,"0"
"90","Matchday 2","Switzerland","Italy","1954-06-17 12:00:00.000000","2","1",,,,,"1"
"91","Matchday 4","England","Switzerland","1954-06-20 12:00:00.000000","2","0",,,,,"1"
"92","Matchday 4","Italy","Belgium","1954-06-20 12:00:00.000000","4","1",,,,,"1"
"93","Group-4 Play-off","Switzerland","Italy","1954-06-23 12:00:00.000000","4","1",,,,,"1"
"94","Quarter-finals","Austria","Switzerland","1954-06-26 12:00:00.000000","7","5",,,,,"1"
"95","Quarter-finals","Uruguay","England","1954-06-26 12:00:00.000000","4","2",,,,,"1"
"96","Quarter-finals","Yugoslavia (-2003)","West Germany (-1989)","1954-06-27 12:00:00.000000","0","2",,,,,"2"
"97","Quarter-finals","Brazil","Hungary","1954-06-27 12:00:00.000000","2","4",,,,,"2"
"98","Semi-finals","West Germany (-1989)","Austria","1954-06-30 12:00:00.000000","6","1",,,,,"1"
"99","Semi-finals","Hungary","Uruguay","1954-06-30 12:00:00.000000","2","2","4","2",,,"1"
"100","Third-place match","Uruguay","Austria","1954-07-03 12:00:00.000000","1","3",,,,,"2"
"101","Final","Hungary","West Germany (-1989)","1954-07-04 12:00:00.000000","2","3",,,,,"2"
"102","Matchday 1","West Germany (-1989)","Argentina","1958-06-08 12:00:00.000000","3","1",,,,,"1"
"103","Matchday 1","Northern Ireland","Czechoslovakia (-1992)","1958-06-08 12:00:00.000000","1","0",,,,,"1"
"104","Matchday 2","Argentina","Northern Ireland","1958-06-11 12:00:00.000000","3","1",,,,,"1"
"105","Matchday 2","West Germany (-1989)","Czechoslovakia (-1992)","1958-06-11 12:00:00.000000","2","2",,,,,"0"
"106","Matchday 4","West Germany (-1989)","Northern Ireland","1958-06-15 12:00:00.000000","2","2",,,,,"0"
"107","Matchday 4","Czechoslovakia (-1992)","Argentina","1958-06-15 12:00:00.000000","6","1",,,,,"1"
"108","Group-1 Play-off","Northern Ireland","Czechoslovakia (-1992)","1958-06-17 12:00:00.000000","1","1","2","1",,,"1"
"109","Matchday 1","France","Paraguay","1958-06-08 12:00:00.000000","7","3",,,,,"1"
"110","Matchday 1","Yugoslavia (-2003)","Scotland","1958-06-08 12:00:00.000000","1","1",,,,,"0"
"111","Matchday 2","Yugoslavia (-2003)","France","1958-06-11 12:00:00.000000","3","2",,,,,"1"
"112","Matchday 2","Paraguay","Scotland","1958-06-11 12:00:00.000000","3","2",,,,,"1"
"113","Matchday 4","France","Scotland","1958-06-15 12:00:00.000000","2","1",,,,,"1"
"114","Matchday 4","Paraguay","Yugoslavia (-2003)","1958-06-15 12:00:00.000000","3","3",,,,,"0"
"115","Matchday 1","Sweden","Mexico","1958-06-08 12:00:00.000000","3","0",,,,,"1"
"116","Matchday 1","Hungary","Wales","1958-06-08 12:00:00.000000","1","1",,,,,"0"
"117","Matchday 2","Mexico","Wales","1958-06-11 12:00:00.000000","1","1",,,,,"0"
"118","Matchday 3","Sweden","Hungary","1958-06-12 12:00:00.000000","2","1",,,,,"1"
"119","Matchday 4","Sweden","Wales","1958-06-15 12:00:00.000000","0","0",,,,,"0"
"120","Matchday 4","Hungary","Mexico","1958-06-15 12:00:00.000000","4","0",,,,,"1"
"121","Group-3 Play-off","Wales","Hungary","1958-06-17 12:00:00.000000","2","1",,,,,"1"
"122","Matchday 1","Brazil","Austria","1958-06-08 12:00:00.000000","3","0",,,,,"1"
"123","Matchday 1","Soviet Union (-1991)","England","1958-06-08 12:00:00.000000","2","2",,,,,"0"
"124","Matchday 2","Brazil","England","1958-06-11 12:00:00.000000","0","0",,,,,"0"
"125","Matchday 2","Soviet Union (-1991)","Austria","1958-06-11 12:00:00.000000","2","0",,,,,"1"
"126","Matchday 4","England","Austria","1958-06-15 12:00:00.000000","2","2",,,,,"0"
"127","Matchday 4","Brazil","Soviet Union (-1991)","1958-06-15 12:00:00.000000","2","0",,,,,"1"
"128","Group-4 Play-off","Soviet Union (-1991)","England","1958-06-17 12:00:00.000000","1","0",,,,,"1"
"129","Quarter-finals","France","Northern Ireland","1958-06-19 12:00:00.000000","4","0",,,,,"1"
"130","Quarter-finals","Sweden","Soviet Union (-1991)","1958-06-19 12:00:00.000000","2","0",,,,,"1"
"131","Quarter-finals","Brazil","Wales","1958-06-19 12:00:00.000000","1","0",,,,,"1"
"132","Quarter-finals","West Germany (-1989)","Yugoslavia (-2003)","1958-06-19 12:00:00.000000","1","0",,,,,"1"
"133","Semi-finals","France","Brazil","1958-06-24 12:00:00.000000","2","5",,,,,"2"
"134","Semi-finals","West Germany (-1989)","Sweden","1958-06-24 12:00:00.000000","1","3",,,,,"2"
"135","Match for third place","West Germany (-1989)","France","1958-06-28 12:00:00.000000","3","6",,,,,"2"
"136","Final","Sweden","Brazil","1958-06-29 12:00:00.000000","2","5",,,,,"2"
"137","Matchday 1","Uruguay","Colombia","1962-05-30 12:00:00.000000","2","1",,,,,"1"
"138","Matchday 2","Soviet Union (-1991)","Yugoslavia (-2003)","1962-05-31 12:00:00.000000","2","0",,,,,"1"
"139","Matchday 3","Yugoslavia (-2003)","Uruguay","1962-06-02 12:00:00.000000","3","1",,,,,"1"
"140","Matchday 4","Soviet Union (-1991)","Colombia","1962-06-03 12:00:00.000000","4","4",,,,,"0"
"141","Matchday 5","Soviet Union (-1991)","Uruguay","1962-06-06 12:00:00.000000","2","1",,,,,"1"
"142","Matchday 6","Yugoslavia (-2003)","Colombia","1962-06-07 12:00:00.000000","5","0",,,,,"1"
"143","Matchday 1","Chile","Switzerland","1962-05-30 12:00:00.000000","3","1",,,,,"1"
